name,SMILES,number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP
methane,C,1,16.04,0.424,37.8,-183.0,-164,-82.0,45.6,99.0,1.09
ethane,CC,2,30.07,0.546,55.1,-182.0,-89,32.0,39.6,148.0,1.81
propane,CCC,3,44.1,0.581,75.9,-188.0,-45,97.0,42.0,203.0,2.36
butane,CCCC,4,58.12,0.579,100.4,-138.0,1,153.0,36.0,255.0,2.89
isobutane,CC(C)C,4,58.12,0.593,98.0,-145.0,-12,135.0,36.0,263.0,2.76
pentane,CCCCC,5,72.15,0.626,115.2,-129.0,36,197.0,32.7,304.0,3.23
isopentane,CC(C)CC,5,72.15,0.614,117.5,-160.0,28,188.0,32.9,308.0,2.3
"2,2-dimethylpropane",CC(C)(C)C,5,72.15,0.613,117.7,-17.0,9,159.0,33.0,303.0,3.11
hexane,CCCCCC,6,86.18,0.659,130.7,-97.0,69,234.0,29.9,370.0,3.8
2-methylpentane,CC(C)CCC,6,86.18,0.659,131.3,-154.0,60,225.0,29.9,367.0,3.21
3-methylpentane,CCC(C)CC,6,86.18,0.664,129.8,-110.0,63,232.0,30.8,367.0,3.6
"2,2-dimethylbutane",CC(C)(C)CC,6,86.18,0.649,132.7,-98.0,50,216.0,30.6,359.0,3.82
"3,3-dimethylbutane",CC(C)(C)CC,6,86.18,0.662,130.2,-129.0,58,227.0,30.9,357.95,3.42
heptane,CCCCCCC,7,100.2,0.684,146.6,-90.0,98,267.0,27.0,432.0,3.5
2-methylhexane,CC(C)CCCC,7,100.2,0.679,147.6,-118.0,90,258.0,27.2,428.05,3.71
3-methylhexane,CCC(C)CCC,7,100.2,0.69,145.2,-119.0,92,262.0,28.1,418.03,
"2,2-dimethylpentane",CC(C)(C)CCC,7,100.2,0.674,148.8,-125.0,79,248.0,28.4,416.03,
"3,3-dimethylpentane",CCC(C)(C)CC,7,100.2,0.693,144.6,-135.0,86,263.0,30.0,419.13,
"2,3-dimethylpentane",CC(C)C(C)CC,7,100.2,0.694,144.3,-135.0,90,264.0,29.2,405.0,
"2,4-dimethylpentane",CC(C)CC(C)C,7,100.2,0.673,148.9,-119.0,81,247.0,27.4,420.03,
3-ethylpentane,CCC(CC)CC,7,100.2,0.699,143.4,-119.0,93,267.0,28.6,416.03,
"2,2,3-trimethylbutane",CC(C)(C)C(C)C,7,100.2,0.69,145.2,-25.0,81,258.0,29.7,393.9,
octane,CCCCCCCC,8,114.23,0.699,163.4,-57.0,126,295.0,24.6,492.0,7.79
"2,2-dimethylhexane",CC(C)(C)CCCC,8,114.23,0.696,164.2,-121.0,107,279.0,25.6,466.93,
"2,3-dimethylhexane",CC(C)C(C)CCC,8,114.23,0.712,160.3,,116,293.0,26.6,460.99,
"2,4-dimethylhexane",CC(C)CC(C)CC,8,114.23,0.699,163.4,,109,282.0,24.9,466.01,
"2,5-dimethylhexane",CC(C)CCC(C)C,8,114.23,0.694,164.6,-91.0,109,279.0,25.0,478.01,4.12
"3,3-dimethylhexane",CCC(C)(C)CCC,8,114.23,0.709,161.2,-126.0,112,278.0,22.9,450.02,
"3,4-dimethylhexane",CCC(C)C(C)CC,8,114.23,0.72,158.7,,117,298.0,27.5,451.96,
3-ethylhexane,CCC(CC)CCC,8,114.23,0.712,160.4,,118,294.0,26.2,466.01,
3-ethyl-2-methylpentane,CC(C)C(CC)CC,8,114.23,0.718,159.1,-115.0,116,295.0,27.5,450.02,
3-ethyl-3-methylpentane,CCC(CC)(C)CC,8,114.23,0.726,157.4,-91.0,118,305.0,28.9,434.94,
2-methylheptane,CC(C)CCCCC,8,114.23,0.698,163.7,-109.0,118,288.0,24.8,488.06,
3-methylheptane,CCC(C)CCCC,8,114.23,0.706,161.9,-121.0,119,292.0,25.6,478.01,
4-methylheptane,CCCC(C)CCC,8,114.23,0.716,159.5,-121.0,118,290.0,25.6,475.95,
"2,2,3,3-tetramethylbutane",CC(C)(C)C(C)(C)C,8,114.23,0.722,158.2,97.0,106,271.0,24.5,478.46,
"2,2,3-trimethylpentane",CC(C)(C)C(C)CC,8,114.23,0.716,159.5,-112.0,110,294.0,28.2,437.0,
"2,2,4-trimethylpentane",CC(C)(C)CC(C)C,8,114.23,0.692,165.1,-107.0,99,271.0,25.6,482.0,4.08
"2,3,3-trimethylpentane",CC(C)C(C)(C)CC,8,114.23,0.726,157.4,-109.0,115,303.0,28.9,433.0,
"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,8,114.23,0.72,158.8,-110.0,113,295.0,27.6,446.94,
nonane,CCCCCCCCC,9,128.26,0.714,179.6,-51.0,151,322.0,22.8,555.0,5.65
"3,3-diethylpentane",CCC(CC)(CC)CC,9,128.26,0.753,170.4,-41.0,139,324.0,22.6,,
"2,4-dimethyl-3-ethylpentane",CCC(CC)CC,9,128.26,0.738,173.8,-122.0,137,,,,
"2,2-dimethylheptane",CC(C)(C)CCCCC,9,128.26,,,-113.0,133,295.0,20.6,,
"2,3-dimethylheptane",CC(C)C(C)CCCC,9,128.26,0.724,177.3,-116.0,141,309.0,21.9,,
"2,4-dimethylheptane",CC(C)CC(C)CCC,9,128.26,0.716,179.2,,134,298.0,21.3,,
"2,5-dimethylheptane",CC(C)CCC(C)CC,9,128.26,0.715,179.5,,136,301.0,21.2,,
